stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
S0904000930,産業技術大学前,36.5603058210203,139.928681056983,0,1,,,,,,,
S090400093000000,産業技術大学前,36.5603058210203,139.928681056983,Z013880,0,S0904000930,,,,,,
S0904000931,平出工業団地南,36.5642203589487,139.930173808315,0,1,,,,,,,
S090400093100000,平出工業団地南,36.5642203589487,139.930173808315,Z010170,0,S0904000931,,,,,,
S0904000932,クボタ空調前,36.5736377659497,139.930833042148,0,1,,,,,,,
S090400093200000,クボタ空調前,36.5736377659497,139.930833042148,Z010180,0,S0904000932,,,,,,
S0904000933,御幸交番前,36.5855462004802,139.930033949056,0,1,,,,,,,
S090400093300000,御幸交番前,36.5855462004802,139.930033949056,Z010190,0,S0904000933,,,,,,
S0904000934,栃木県ＪＡビル前,36.5874297250553,139.932637812744,0,1,,,,,,,
S090400093400000,栃木県ＪＡビル前,36.5874297250553,139.932637812744,Z010700,0,S0904000934,,,,,,
S0904000935,コカ・コーラ前,36.5897298808304,139.935762447331,0,1,,,,,,,
S090400093500000,コカ・コーラ前,36.5897298808304,139.935762447331,Z010710,0,S0904000935,,,,,,
S0904000936,三菱製鋼,36.5917522855042,139.938713498013,0,1,,,,,,,
S090400093600000,三菱製鋼,36.5917522855042,139.938713498013,Z010720,0,S0904000936,,,,,,
S0904000937,岡本南台,36.5951460852177,139.942463030344,0,1,,,,,,,
S090400093700000,岡本南台,36.5951460852177,139.942463030344,Z010730,0,S0904000937,,,,,,
S0904000938,ＪＲ岡本駅,36.5981753145153,139.944719647892,0,1,,,,,,,
S090400093800000,ＪＲ岡本駅,36.5981753145153,139.944719647892,Z010740,0,S0904000938,,,,,,
S0904000939,宇都宮東武,36.5594543619429,139.879692109122,0,1,,,,,,,
S090400093900000,宇都宮東武,36.5594543619429,139.879692109122,Z008830,0,S0904000939,,,,,,
S090400093900100,宇都宮東武,36.5592894520586,139.879865713409,Z008830,0,S0904000939,,,,,,１
S090400093900200,宇都宮東武,36.5594109680518,139.879935146491,Z008830,0,S0904000939,,,,,,３
S090400093900300,宇都宮東武,36.5594109662327,139.879830988476,Z008830,0,S0904000939,,,,,,４
S090400093900001,宇都宮東武,36.5594543619429,139.879692109122,Z008831,0,S0904000939,,,,,,
S0904000940,二荒山神社前,36.5611817223573,139.886253984625,0,1,,,,,,,
S090400094000000,二荒山神社前,36.5611817223573,139.886253984625,Z008840,0,S0904000940,,,,,,
S090400094000001,二荒山神社前,36.5611817223573,139.886253984625,Z008841,0,S0904000940,,,,,,
S0904000941,今泉四丁目,36.5644281127295,139.898266726381,0,1,,,,,,,
S090400094100000,今泉四丁目,36.5644281127295,139.898266726381,Z010200,0,S0904000941,,,,,,
S0904000942,竹林北,36.5759027466053,139.907814016229,0,1,,,,,,,
S090400094200000,竹林北,36.5759027466053,139.907814016229,Z010510,0,S0904000942,,,,,,
S0904000943,竹林保育園入口,36.5776473807732,139.909480464164,0,1,,,,,,,
S090400094300000,竹林保育園入口,36.5776473807732,139.909480464164,Z010520,0,S0904000943,,,,,,
S0904000944,白山神社前,36.5793833425906,139.911563544564,0,1,,,,,,,
S090400094400000,白山神社前,36.5793833425906,139.911563544564,Z010530,0,S0904000944,,,,,,
S0904000945,岩曽町,36.5819786214555,139.915590868372,0,1,,,,,,,
S090400094500000,岩曽町,36.5819786214555,139.915590868372,Z010540,0,S0904000945,,,,,,
S0904000946,御幸ヶ原南,36.5843568853857,139.91822942862,0,1,,,,,,,
S090400094600000,御幸ヶ原南,36.5843568853857,139.91822942862,Z010500,0,S0904000946,,,,,,
