service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S000001,1,1,1,1,1,0,0,20190507,20191031
S000002,0,0,0,0,0,1,0,20190511,20191026
S000003,0,0,0,0,0,0,1,20190501,20191027
S000004,1,1,1,1,1,0,0,20190507,20191031
S000005,0,0,0,0,0,0,1,20190501,20191027
S000006,0,0,0,0,0,1,1,20190501,20191027
S000007,1,1,1,1,1,1,1,20190501,20191031
S000008,1,1,1,1,1,0,0,20190507,20191031
S000009,0,0,0,0,0,1,1,20190501,20191027
