service_id,date,exception_type
S000001,20190715,2
S000001,20190812,2
S000001,20190813,2
S000001,20190814,2
S000001,20190815,2
S000001,20190816,2
S000001,20190916,2
S000001,20190923,2
S000001,20191014,2
S000001,20191022,2
S000003,20190501,1
S000003,20190502,1
S000003,20190503,1
S000003,20190504,1
S000003,20190506,1
S000003,20190715,1
S000003,20190812,1
S000003,20190813,1
S000003,20190814,1
S000003,20190815,1
S000003,20190816,1
S000003,20190916,1
S000003,20190923,1
S000003,20191014,1
S000003,20191022,1
S000004,20190715,2
S000004,20190812,2
S000004,20190916,2
S000004,20190923,2
S000004,20191014,2
S000004,20191022,2
S000005,20190501,1
S000005,20190502,1
S000005,20190503,1
S000005,20190504,1
S000005,20190506,1
S000005,20190715,1
S000005,20190812,1
S000005,20190916,1
S000005,20190923,1
S000005,20191014,1
S000005,20191022,1
S000006,20190501,1
S000006,20190502,1
S000006,20190503,1
S000006,20190506,1
S000006,20190715,1
S000006,20190812,1
S000006,20190813,1
S000006,20190814,1
S000006,20190815,1
S000006,20190816,1
S000006,20190916,1
S000006,20190923,1
S000006,20191014,1
S000006,20191022,1
S000008,20190715,2
S000008,20190722,2
S000008,20190723,2
S000008,20190724,2
S000008,20190725,2
S000008,20190726,2
S000008,20190729,2
S000008,20190730,2
S000008,20190731,2
S000008,20190801,2
S000008,20190802,2
S000008,20190805,2
S000008,20190806,2
S000008,20190807,2
S000008,20190808,2
S000008,20190809,2
S000008,20190812,2
S000008,20190813,2
S000008,20190814,2
S000008,20190815,2
S000008,20190816,2
S000008,20190819,2
S000008,20190820,2
S000008,20190821,2
S000008,20190822,2
S000008,20190823,2
S000008,20190826,2
S000008,20190916,2
S000008,20190923,2
S000008,20191014,2
S000008,20191015,2
S000008,20191016,2
S000008,20191022,2
S000009,20190501,1
S000009,20190502,1
S000009,20190503,1
S000009,20190506,1
S000009,20190715,1
S000009,20190722,1
S000009,20190723,1
S000009,20190724,1
S000009,20190725,1
S000009,20190726,1
S000009,20190729,1
S000009,20190730,1
S000009,20190731,1
S000009,20190801,1
S000009,20190802,1
S000009,20190805,1
S000009,20190806,1
S000009,20190807,1
S000009,20190808,1
S000009,20190809,1
S000009,20190812,1
S000009,20190813,1
S000009,20190814,1
S000009,20190815,1
S000009,20190816,1
S000009,20190819,1
S000009,20190820,1
S000009,20190821,1
S000009,20190822,1
S000009,20190823,1
S000009,20190826,1
S000009,20190916,1
S000009,20190923,1
S000009,20191014,1
S000009,20191015,1
S000009,20191016,1
S000009,20191022,1
